City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Thinadhoo,MV,84.02,overcast clouds,0.5333,72.9333,
174,Daru,PG,77.76,overcast clouds,-9.0763,143.2092,Daru Lodge
184,Lorengau,PG,80.56,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
186,Mtimbira,TZ,70.47,broken clouds,-8.7833,36.35,
187,Saint-Pierre,RE,68.92,clear sky,-21.3393,55.4781,Alize Plage
189,Sechura,PE,75.15,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
192,Kalisz,PL,68.52,broken clouds,51.7611,18.091,Hotel Europa
193,Sola,VU,80.49,overcast clouds,-13.8833,167.55,Leumerus Bungalows
194,Chhagalnaiya,BD,80.47,few clouds,23.03,91.5069,Nurul Amin mansion নুরুল আমিন ম্যানশন
195,Ixtapa,MX,83.43,few clouds,20.7,-105.2,hotel la terminal
196,Naldurg,IN,79.93,light rain,17.8167,76.3,Chacha biryani hotel
198,Bengkulu,ID,75.04,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
200,Buala,SB,79.05,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
203,Alyangula,AU,69.26,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
205,Popondetta,PG,72.48,overcast clouds,-8.7537,148.2534,Timos Transit House
215,Jiangyou,CN,69.73,moderate rain,31.7667,104.7167,Shangping Shuyuan Inn
216,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
217,Carnarvon,AU,70.5,clear sky,-24.8667,113.6333,Hospitality Carnarvon
220,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
222,Panzhihua,CN,72.77,overcast clouds,26.5851,101.7128,Electric Power Hotel
227,Ponce,PR,80.6,scattered clouds,18.073,-66.6185,Villa Del Paraíso
228,Georgetown,MY,77.95,scattered clouds,5.4112,100.3354,Cititel Penang
232,Manggar,ID,80.67,overcast clouds,-2.8833,108.2667,Guest Hotel
237,Tabuk,PH,75.38,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
238,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
241,Magole,TZ,69.57,overcast clouds,-6.3667,37.3667,Juma lubelwa
242,Callaguip,PH,77.02,broken clouds,18.0714,120.4867,Pangil Beach Resort
243,Cabedelo,BR,74.07,moderate rain,-6.9811,-34.8339,Pousada Camboinha
245,Angoche,MZ,68.92,clear sky,-16.2325,39.9086,Guest House HESADA
246,Soyo,AO,74.68,overcast clouds,-6.1349,12.3689,Hotel Mpampa
247,Yangjiang,CN,77.63,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
248,Coruripe,BR,78.4,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
253,Magway,MM,81.34,overcast clouds,20.15,94.9167,Htein Htein Thar 2
255,Jharsuguda,IN,84.83,overcast clouds,21.85,84.0333,Hotel Meghdoot - Best Hotel In Jharsuguda
261,Inirida,CO,81.82,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
265,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
266,Vila Franca Do Campo,PT,68.2,moderate rain,37.7167,-25.4333,Pestana Bahia Praia
267,Sand,DE,73.45,scattered clouds,50.0,10.6,Hotel Restaurant Kolb GmbH
268,Ugoofaaru,MV,83.14,overcast clouds,5.6667,73.0,Ungoofaaru Inn
269,Nouadhibou,MR,71.58,sand,20.931,-17.0347,El Medina
270,Namibe,AO,71.51,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
272,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
273,Zaozhuang,CN,71.65,overcast clouds,34.8647,117.5542,Diaoyutai Hotel
274,Hambantota,LK,79.14,light rain,6.1241,81.1185,Bungalow 63
277,Odessa,UA,72.52,overcast clouds,46.4775,30.7326,Londonskaya Hotel
281,Talara,PE,72.36,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
287,Harper,LR,75.54,moderate rain,4.375,-7.7169,Screensaver
289,Luwuk,ID,77.52,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
290,Olinda,BR,74.93,light rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
292,Isangel,VU,76.91,overcast clouds,-19.55,169.2667,Tanna Lodge
293,Ancona,IT,75.34,clear sky,43.55,13.1667,Casa Vandina - B&B
295,Weligama,LK,78.84,light rain,5.9667,80.4167,Weligama Bay Resort
296,Padang,ID,71.65,moderate rain,-0.9492,100.3543,Mercure Padang
297,Pindiga,NG,84.24,broken clouds,9.9833,10.9333,Accommodation Center
299,Alofi,NU,73.29,broken clouds,-19.0595,-169.9187,Taloa Heights
301,Santa Rosa,PH,84.18,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
303,Belmonte,BR,78.96,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
304,Dingle,PH,76.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
305,Suluq,LY,74.07,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
307,Zaozerne,UA,69.62,overcast clouds,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
309,Sinnamary,GF,82.78,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
310,Maceio,BR,76.44,mist,-9.6658,-35.7353,Hotel Ponta Verde Maceió
312,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
317,Eydhafushi,MV,83.3,overcast clouds,5.1033,73.0708,Soneva Fushi
318,Quatre Cocos,MU,73.51,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
322,Jawhar,SO,76.77,broken clouds,2.7809,45.5005,Hotel Shabelle
324,Buchanan,LR,78.01,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
326,Zaysan,KZ,72.0,overcast clouds,47.4667,84.8667,Ерлан үй
328,Fortuna,US,72.52,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
329,Tarbes,FR,73.87,clear sky,43.25,0.1667,Quelle Vue (Gite Rural)
330,Jutiapa,GT,83.48,overcast clouds,14.2833,-89.9,Hotel Ordoñez
336,Iralaya,HN,79.56,overcast clouds,15.0,-83.2333,Iglesia morava renovada
337,Tual,ID,81.86,broken clouds,-5.6667,132.75,Grand Vilia Hotel
339,Sabang,ID,83.07,overcast clouds,5.8933,95.3214,Hotel Citra
340,Minnedosa,CA,72.16,overcast clouds,50.2453,-99.8436,Kruk Castle Bed & Breakfast
343,Bolobo,CD,77.18,clear sky,-2.1667,16.2333,Hotel de Stephen
